order_id,customer_id,order_date,dish_ids,total_amount,status,payment_method,address,note,customer_name,customer_phone
28,26,2025-05-07 13:55:00,"13,43,48,132",215000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
29,45,2025-04-10 14:27:00,"11,44,66,132",350000,pending,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
30,4,2025-08-16 21:34:00,"48,49,92,132",430000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
31,33,2025-06-27 12:03:00,"48,106,108,132",500000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
32,37,2024-08-28 16:07:00,"13,27,48,132",195000,completed,zalopay,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
33,46,2024-09-24 13:42:00,"13,44,49,118",320000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Ít cay,,
34,49,2024-11-03 17:20:00,"13,28,44,132",245000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
35,33,2024-03-16 18:13:00,"13,48,61",180000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
36,35,2024-06-10 17:53:00,"48,49,95,132",410000,completed,zalopay,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
37,43,2025-07-21 14:59:00,"13,28,48,132",235000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
38,39,2024-06-08 14:18:00,"13,28,44,132",245000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
39,28,2024-02-22 11:40:00,"38,49,118,132",415000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
40,29,2024-09-25 12:47:00,"13,28,44,132",245000,pending,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
41,24,2025-07-12 10:53:00,"13,28,44,49,132",305000,cancelled,momo,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
42,44,2024-02-10 15:13:00,"13,28,44,132",245000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
43,16,2026-02-06 12:59:00,"48,103,105,132",420000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
44,27,2024-12-06 22:59:00,"48,49,93,132",450000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",,,
45,30,2025-04-26 13:12:00,"11,44,66,132",350000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",,,
46,5,2025-02-12 15:17:00,"13,28,48,132",235000,completed,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
47,8,2025-07-03 15:01:00,"12,48,76,132",319000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
48,21,2024-12-19 21:50:00,"13,28,48,132",235000,delivering,zalopay,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
49,46,2024-07-13 14:02:00,"11,44,66,132",350000,delivering,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
50,22,2024-03-12 20:58:00,"48,49,93,132",450000,cancelled,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
51,26,2025-11-13 16:20:00,"48,49,92,132",430000,completed,momo,"Số 5 Lê Lợi, Q1, TP.HCM",,,
52,12,2025-01-23 20:47:00,"48,103,105,132",420000,cancelled,zalopay,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Ít cay,,
53,28,2024-11-07 14:13:00,"27,48,125,132",320000,cancelled,zalopay,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
54,31,2025-11-22 13:32:00,"44,102,105,132",590000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
55,20,2026-02-08 13:43:00,"13,49,118",255000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",,,
56,30,2025-09-17 22:04:00,"13,27,48,132",195000,delivering,zalopay,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
57,1,2024-05-31 20:44:00,"34,48,117,132",410000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
58,8,2025-07-24 13:58:00,"43,48,119,132",360000,cooking,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
59,47,2026-02-12 17:39:00,"13,48,61",180000,pending,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
60,49,2025-05-01 17:16:00,"13,43,48,132",215000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
61,16,2024-03-20 21:18:00,"48,49,95,132",410000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
62,46,2025-01-27 21:09:00,"13,26,49,132",240000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Ít cay,,
63,27,2025-03-01 10:13:00,"2,49,65,132",375000,delivering,zalopay,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
64,49,2024-01-07 15:19:00,"13,48,74",210000,delivering,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
65,28,2025-05-14 13:17:00,"13,44,66",210000,cooking,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
66,35,2025-04-23 12:39:00,"12,48,76,132",319000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
67,4,2024-05-18 17:11:00,"13,28,48,132",235000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
68,49,2026-02-18 16:17:00,"48,105,111,132",370000,delivering,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Ít cay,,
69,42,2024-02-23 15:14:00,"13,28,48,132",235000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
70,9,2025-09-28 12:15:00,"48,49,93,132",450000,cooking,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
71,39,2026-02-24 15:10:00,"44,102,105,132",590000,cancelled,cod,"Số 5 Lê Lợi, Q1, TP.HCM",,,
72,25,2024-11-15 19:43:00,"13,28,44,132",245000,delivering,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
73,8,2025-12-01 19:51:00,"44,48,49,95,132",475000,cancelled,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
74,22,2024-03-11 18:41:00,"49,109,110,132",395000,completed,bank,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
75,10,2025-10-12 17:45:00,"49,109,110,132",395000,delivering,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
76,30,2025-07-05 22:30:00,"44,49,96,132",360000,delivering,zalopay,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
77,29,2024-03-29 14:56:00,"48,49,95,132",410000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
78,32,2025-05-21 15:11:00,"11,44,66,132",350000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
79,1,2025-12-19 14:35:00,"44,48,97,132",415000,pending,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
80,31,2026-02-15 13:44:00,"48,103,105,132",420000,cooking,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
81,24,2024-11-09 20:37:00,"44,48,49,97,132",475000,cooking,momo,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
82,45,2025-07-17 15:22:00,"49,109,110,132",395000,cooking,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
83,35,2024-11-19 11:47:00,"44,48,49,94,132",545000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
84,19,2026-02-17 18:38:00,"44,48,97,132",415000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
85,18,2025-12-26 18:08:00,"4,48,74,132",299000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
86,1,2026-02-09 17:06:00,"13,28,44,132",245000,cancelled,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Ít cay,,
87,31,2024-02-22 14:55:00,"48,105,111,132",370000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Ít cay,,
88,10,2025-12-03 10:09:00,"13,27,48,132",195000,cancelled,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
89,40,2025-03-02 19:38:00,"13,28,44,132",245000,completed,momo,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Ít cay,,
90,37,2025-08-25 16:19:00,"48,105,111,132",370000,cancelled,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
91,11,2024-09-27 20:05:00,"44,48,94,132",485000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
92,19,2025-12-06 19:30:00,"13,43,48,132",215000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
93,41,2024-09-27 22:50:00,"48,49,105,111,132",430000,cancelled,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
94,4,2024-09-29 12:04:00,"40,44,49,123,132",385000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
95,45,2025-04-24 21:19:00,"44,48,97,132",415000,delivering,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
96,28,2025-09-04 10:56:00,"34,48,117,132",410000,completed,zalopay,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
97,18,2026-02-22 20:52:00,"13,26,48,49,132",295000,cancelled,cod,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
98,28,2024-10-11 12:37:00,"43,48,119,132",360000,cooking,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
99,11,2025-11-17 11:54:00,"48,103,105,132",420000,completed,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
100,3,2025-02-14 22:35:00,"44,48,97,132",415000,cooking,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
101,35,2025-06-10 10:42:00,"1,48,61,132",330000,cooking,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
102,29,2026-02-13 17:40:00,"43,48,119,132",360000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
103,8,2025-03-24 21:31:00,"13,28,44,132",245000,completed,zalopay,"Số 5 Lê Lợi, Q1, TP.HCM",,,
104,15,2025-07-19 16:05:00,"1,48,61,132",330000,completed,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
105,18,2024-10-25 18:45:00,"34,48,117,132",410000,delivering,bank,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
106,39,2025-01-27 13:58:00,"44,102,105,132",590000,pending,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
107,1,2025-06-03 14:52:00,"48,103,105,132",420000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
108,23,2025-04-02 18:30:00,"34,48,117,132",410000,completed,momo,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
109,37,2024-07-12 21:15:00,"44,102,105,132",590000,delivering,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
110,25,2025-12-23 22:24:00,"1,48,61,132",330000,completed,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
111,29,2024-12-05 11:55:00,"38,49,118,132",415000,completed,momo,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
112,31,2025-11-01 12:04:00,"14,27,44,132",208000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
113,21,2025-11-21 18:24:00,"13,26,49,132",240000,cooking,momo,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
114,28,2024-08-20 21:05:00,"13,27,44,48,132",260000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
115,4,2024-02-17 15:50:00,"48,49,92,132",430000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Ít cay,,
116,12,2025-08-02 20:50:00,"14,27,44,132",208000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
117,38,2024-09-03 17:58:00,"11,44,66,132",350000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
118,19,2024-01-10 22:29:00,"44,102,105,132",590000,pending,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Ít cay,,
119,45,2024-11-02 20:27:00,"2,49,65,132",375000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
120,37,2024-04-19 13:24:00,"11,44,66,132",350000,completed,zalopay,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
121,1,2025-11-05 16:17:00,"13,28,48,132",235000,cancelled,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
122,23,2024-08-23 19:51:00,"44,48,97,132",415000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
123,20,2025-10-04 20:02:00,"14,27,44,132",208000,cooking,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
124,12,2024-11-30 21:26:00,"13,28,44,132",245000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
125,31,2024-10-06 12:16:00,"43,48,119,132",360000,completed,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Ít cay,,
126,26,2025-11-23 21:43:00,"13,26,49,132",240000,pending,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Ít cay,,
127,44,2024-05-06 17:23:00,"13,28,48,132",235000,completed,zalopay,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
128,36,2025-04-27 10:39:00,"13,28,44,132",245000,completed,zalopay,"Số 5 Lê Lợi, Q1, TP.HCM",,,
129,8,2024-11-05 20:26:00,"44,102,105,132",590000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
130,30,2025-07-04 12:24:00,"34,48,49,117,132",470000,completed,momo,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
131,32,2025-11-01 11:53:00,"14,27,44,132",208000,cancelled,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
132,44,2024-08-29 15:06:00,"10,48,119,132",319000,completed,momo,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
133,30,2024-07-13 11:54:00,"13,27,48,132",195000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
134,37,2024-09-06 12:50:00,"13,28,44,48,132",300000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
135,39,2024-12-02 22:09:00,"13,48,49,74",270000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",,,
136,2,2024-06-27 11:42:00,"40,44,123,132",325000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
137,9,2024-06-27 14:03:00,"13,48,119",230000,delivering,momo,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
138,7,2025-01-05 18:37:00,"48,106,108,132",500000,cooking,momo,"Số 5 Lê Lợi, Q1, TP.HCM",Không hành,,
139,30,2025-11-05 18:19:00,"13,27,48,132",195000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Ít cay,,
140,29,2025-05-17 21:58:00,"49,109,110,132",395000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
141,36,2025-10-01 20:37:00,"14,27,44,132",208000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
142,45,2025-09-11 16:06:00,"44,48,97,132",415000,completed,momo,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
143,30,2024-08-21 16:21:00,"49,109,110,132",395000,delivering,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
144,10,2025-11-12 14:23:00,"1,48,61,132",330000,cooking,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
145,9,2026-02-01 21:23:00,"13,26,49,132",240000,pending,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
146,43,2024-05-05 16:22:00,"13,48,61",180000,delivering,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
147,10,2025-08-14 18:13:00,"1,48,61,132",330000,cooking,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
148,15,2026-02-19 14:36:00,"27,48,125,132",320000,delivering,momo,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
149,45,2024-01-30 12:17:00,"27,44,48,125,132",385000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
150,5,2025-08-02 20:25:00,"48,49,93,132",450000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
151,24,2025-04-09 15:10:00,"44,48,94,132",485000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
152,40,2024-06-08 12:48:00,"13,26,49,132",240000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Ít cay,,
153,14,2025-03-28 16:17:00,"49,109,110,132",395000,pending,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Ít cay,,
154,34,2025-11-25 19:31:00,"13,28,44,132",245000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
155,9,2024-11-04 13:49:00,"13,48,49,119",290000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
156,25,2025-03-16 12:08:00,"13,28,48,132",235000,pending,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
157,5,2025-03-22 10:29:00,"4,48,74,132",299000,completed,zalopay,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
158,26,2025-03-03 14:07:00,"12,48,76,132",319000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",Không hành,,
159,7,2025-01-05 11:27:00,"44,102,105,132",590000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
160,22,2026-02-02 15:14:00,"43,44,48,119,132",425000,completed,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
161,47,2026-03-05 15:22:00,"43,48,119,132",360000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
162,5,2026-02-17 22:41:00,"44,49,96,132",360000,completed,bank,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
163,40,2025-08-01 20:40:00,"13,48,74",210000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
164,18,2025-10-08 14:50:00,"13,27,48,132",195000,cancelled,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
165,24,2025-04-07 10:03:00,"13,27,48,132",195000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
166,36,2025-01-28 17:37:00,"13,49,118",255000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
167,29,2025-05-28 12:03:00,"1,48,61,132",330000,completed,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
168,29,2024-02-10 13:45:00,"38,49,118,132",415000,cooking,momo,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Không hành,,
169,50,2024-10-16 16:26:00,"13,43,48,132",215000,completed,zalopay,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
170,19,2025-07-25 20:24:00,"13,27,48,132",195000,completed,zalopay,"Số 5 Lê Lợi, Q1, TP.HCM",,,
171,42,2024-05-24 15:19:00,"13,26,49,132",240000,delivering,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
172,9,2025-10-20 22:21:00,"48,49,92,132",430000,pending,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
173,14,2025-01-06 14:11:00,"38,49,118,132",415000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
174,35,2024-04-13 18:49:00,"14,27,44,132",208000,pending,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
175,45,2024-06-06 12:11:00,"13,49,118,132",270000,cancelled,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
176,29,2025-11-23 21:15:00,"13,27,48,132",195000,cancelled,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
177,31,2024-11-12 22:50:00,"48,49,95,132",410000,completed,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
178,33,2024-10-15 22:24:00,"48,105,111,132",370000,pending,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
179,24,2024-02-23 20:30:00,"13,44,66",210000,pending,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
180,29,2026-02-20 12:17:00,"13,28,44,132",245000,pending,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
181,4,2024-12-23 10:26:00,"44,48,94,132",485000,delivering,momo,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
182,21,2025-01-18 13:01:00,"11,44,66,132",350000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
183,9,2025-04-28 21:53:00,"13,28,48,132",235000,cooking,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
184,39,2024-06-02 18:46:00,"13,26,49,132",240000,pending,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
185,41,2024-02-18 13:26:00,"48,49,95,132",410000,cancelled,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
186,37,2024-01-17 20:32:00,"34,48,117,132",410000,completed,cod,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Ít cay,,
187,12,2024-09-03 19:26:00,"13,28,48,132",235000,completed,momo,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
188,25,2025-06-03 18:01:00,"43,48,119,132",360000,cooking,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
189,5,2024-01-17 15:50:00,"10,48,119,132",319000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
190,23,2024-12-06 12:02:00,"13,48,74",210000,pending,bank,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
191,9,2025-05-05 20:11:00,"44,102,105,132",590000,completed,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
192,20,2024-02-12 15:59:00,"48,49,93,132",450000,pending,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",Ít cay,,
193,50,2024-10-19 15:55:00,"48,49,95,132",410000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
194,25,2025-02-13 21:28:00,"10,48,119,132",319000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Ít cay,,
195,6,2025-06-15 14:51:00,"10,48,119,132",319000,delivering,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
196,21,2024-11-24 11:05:00,"48,49,93,132",450000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",Không hành,,
197,47,2024-12-25 17:02:00,"49,109,110,132",395000,completed,zalopay,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
198,48,2025-01-07 18:51:00,"13,27,48,132",195000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",Không hành,,
199,24,2024-08-29 22:41:00,"48,49,109,110,132",450000,completed,bank,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
200,49,2025-01-14 15:28:00,"13,44,66,132",225000,completed,zalopay,"Số 5 Lê Lợi, Q1, TP.HCM",Không hành,,
